"Name","Address","Description","Longitude","Latitude","TimeStamp","TimeSpan:begin","TimeSpan:end","GettyID","Bundesland","Link",""
"Rechte Hand","Freiburg im Breisgau","Hand  Akt · Anatomie · Arm · Biologie · Frau · Glied (Körper) · Hand · Körper · Leib · Mann · Mensch · Ripa, Cesare · corpo humano · menschliche Figur · nackt","7.84466111111110","47.97986111111100","1120-01-01","","","","Baden-Württemberg","http://id.corpusvitrearum.de/images/974",""
"Hl. Michael als Drachentöter","Henfenfeld","der Erzengel Michael kämpft gegen den Drachen (Teufel, Satan)  Drache · Engel · Erzengel · Michael · Religion · Satan · Teufel · christliche Religion · kämpfen · mit Füßen treten · trampeln · übernatürlich","11.38981111111100","49.49710000000000","1210-01-01","","","","Bayern","http://id.corpusvitrearum.de/images/2622",""
"Zwickel mit Palmenlaub","Freiburg im Breisgau","Palmette (Ornament)  Gesellschaft · Kultur · Kunst · Laub · Oeffentlichkeit · Ornament · Palmette · Pflanze · Zivilisation","7.85285555555560","47.99384722222200","1210-01-01","","","","Baden-Württemberg","http://id.corpusvitrearum.de/images/797",""
"Hl. Michael als Drachentöter","Henfenfeld","der Erzengel Michael kämpft gegen den Drachen (Teufel, Satan)  Drache · Engel · Erzengel · Michael · Religion · Satan · Teufel · christliche Religion · kämpfen · mit Füßen treten · trampeln · übernatürlich","11.38981111111100","49.49710000000000","1210-01-01","","","","Bayern","http://id.corpusvitrearum.de/images/2621",""
"Hl. Nikolaus","Henfenfeld","der Bischof Nikolaus von Myra (oder Bari); mögliche Attribute: Anker, Boot, drei goldene Kugeln (auf einem Buch), drei Geldbörsen, drei Kinder in einer Wanne, drei Mädchen  Anker · Ball · Bari · Bischof · Boot · Buch · Geldbeutel · Heiliger · Kind · Mädchen · Myra · Nikolaus (Heiliger) · Religion · Wanne · christliche Religion · drei · übernatürlich","11.38981111111100","49.49710000000000","1210-01-01","","","","Bayern","http://id.corpusvitrearum.de/images/2620",""
"Hl. Nikolaus","Henfenfeld","der Bischof Nikolaus von Myra (oder Bari); mögliche Attribute: Anker, Boot, drei goldene Kugeln (auf einem Buch), drei Geldbörsen, drei Kinder in einer Wanne, drei Mädchen  Anker · Ball · Bari · Bischof · Boot · Buch · Geldbeutel · Heiliger · Kind · Mädchen · Myra · Nikolaus (Heiliger) · Religion · Wanne · christliche Religion · drei · übernatürlich","11.38981111111100","49.49710000000000","1210-01-01","","","","Bayern","http://id.corpusvitrearum.de/images/2619",""
"törichte Jungfrau","Bücken","Darstellung der törichten Jungfrau(en)  Bibel · Christus · Erwachsener · Fleiss · Jungfrau · Klugheit · Lehrer · Matthaeus 25 · Neues Testament · Parabel · Torheit · Vorkehrung · Weisheit · unterrichten","9.13046944444440","52.77990000000000","1225-01-01","","","","Niedersachsen","http://id.corpusvitrearum.de/images/4440",""
"Der Priester macht fünf Kreuzzeichen über dem heiligen Opfer / Bestechung des Judas","Bücken","Gottesdienst und Liturgie der christlichen Kirchen  Gott · Kult · Liturgie · Religion · christliche Religion · uebernatuerlich","9.13046944444440","52.77990000000000","1225-01-01","","","","Niedersachsen","http://id.corpusvitrearum.de/images/4448",""
"Der Diakon singt die Epistel / Johannes Baptista zeigt auf Christus","Bücken","Diakon (römisch-katholisch)  Amtstraeger · Berufe · Diakon · Kirche (Institution) · Klerus · Orden · Organisation · Religion · Weihe · Wuerdentraeger · christliche Religion · katholische Kirche · roemisch-katholische Kirche · uebernatuerlich  die Geschichte von Johannes dem Täufer (Matthäus 3; Markus 1:4-11; Lukas 3:1-22; Johannes 1:19-34)  Bibel · Christus · Erwachsener · Johannes 01 · Johannes der Taeufer (Heiliger) · Lukas 03 · Markus 01 · Matthaeus 03 · Neues Testament","9.13046944444440","52.77990000000000","1225-01-01","","","","Niedersachsen","http://id.corpusvitrearum.de/images/4446",""
"Bischofswahl des Hl. Maternianus","Bücken","männliche Heilige (MATERNIANUS)  Heiliger · Religion · christliche Religion · uebernatuerlich  Abstimmung, Wahl  Abstimmung · Buerger · Gesellschaft · Kultur · Recht · Wahl · Zivilisation · buergerliche Rechte · waehlen","9.13046944444440","52.77990000000000","1225-01-01","","","","Niedersachsen","http://id.corpusvitrearum.de/images/4434",""
